"date","gauge","rain","snow","temp","hydr_year"
1980-03-23,4.48875843894077,0.008847775,0,12.3252261479696,0
1980-03-24,4.28656211286236,0.000653024,0,10.4203492270576,0
1980-03-25,4.40787990850941,8.225051244,0,8.11418856514825,0
1980-03-26,4.02370688896042,4.804797173,0,7.57253376642863,0
1980-03-27,3.78107129766633,0.050992463,0,10.2299929724799,0
1980-03-28,3.6193142368036,0.0005792,0,10.743660291036,0
1980-03-29,3.47777680854871,0.003818085,0,13.3801285425822,0
1980-03-30,3.35645901290166,0.074555285,0,12.1143762800429,0
1980-03-31,3.23514121725461,0.000434789,0,10.0177345275879,0
1980-04-01,3.19470195203893,0.144828516,0,8.52093124389648,0
1980-04-02,3.11382342160756,0.450520459,0,9.32854790157742,0
1980-04-03,3.01272525856836,0.021055462,0,8.80374733606974,0
1980-04-04,3.11382342160756,2.030276961,0,8.84800232781304,0
1980-04-05,12.7181489103322,25.59314325,0,12.5034076902601,0
